노선명,역명,승차총승객수,하차총승객수
6호선,광흥창(서강),10727,10325
6호선,대흥(서강대앞),10960,11516
6호선,공덕,21791,21280
6호선,효창공원앞,8745,8076
6호선,삼각지,8426,7401
6호선,녹사평(용산구청),5705,5611
6호선,이태원,11956,12640
6호선,한강진,10064,11922
6호선,버티고개,2579,2513
6호선,약수,4447,4240
6호선,청구,4243,4380
6호선,신당,9527,9990
6호선,동묘앞,8757,8910
6호선,창신,4106,3605
6호선,보문,9062,8330
6호선,안암(고대병원앞),16812,16423
6호선,고려대(종암),11219,10934
6호선,월곡(동덕여대),14525,13964
6호선,상월곡(한국과학기술연구원),8329,7816
6호선,돌곶이,11474,10658
6호선,석계,14119,14619
6호선,태릉입구,6356,7472
6호선,화랑대(서울여대입구),14966,11422
6호선,봉화산(서울의료원),10273,9635
6호선,신내,1,0
7호선,장암,3028,1231
7호선,도봉산,10994,12775
7호선,수락산,13786,13641
7호선,마들,14884,13797
7호선,노원,21617,22424
7호선,중계,17227,15849
7호선,하계,20626,19354
7호선,공릉(서울과학기술대),14011,13732
7호선,태릉입구,10815,10051
7호선,먹골,11323,11093
7호선,중화,11703,11526
7호선,상봉(시외버스터미널),18575,17623
7호선,면목,17764,17106
7호선,사가정,18273,18295
7호선,용마산(용마폭포공원),6539,6529
7호선,중곡,12759,11687
7호선,군자(능동),16727,13143
7호선,어린이대공원(세종대),20091,20650
7호선,건대입구,14912,15230
7호선,뚝섬유원지,10476,10117
7호선,청담,21882,24435
7호선,강남구청,18805,20941
7호선,학동,27024,28714
7호선,논현,20528,20745
7호선,반포,7047,6879
7호선,고속터미널,17568,15246
7호선,내방,16968,17217
7호선,이수,17544,17115
7호선,남성,13128,12291
7호선,숭실대입구(살피재),17778,17773
7호선,상도,14288,14030
7호선,장승배기,10257,9986
7호선,신대방삼거리,16592,15746
7호선,보라매,7548,7823
7호선,신풍,12460,11593
7호선,대림(구로구청),9084,8883
7호선,남구로,16838,17685
7호선,가산디지털단지,50349,51265
7호선,철산,23953,24439
7호선,광명사거리,22318,21967
7호선,천왕,13211,12571
7호선,온수(성공회대입구),11941,10998
8호선,암사,20857,18340
8호선,천호(풍납토성),16063,18322
8호선,강동구청,11841,12011
8호선,몽촌토성(평화의문),7766,7772
8호선,잠실(송파구청),16377,19320
8호선,석촌,8706,10002
8호선,송파,10272,9979
8호선,가락시장,8950,9875
